이름,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WAR
김강률,25,0,0,0,0,2,0,4,28.0,18,16,125,31,5,2,2,17,0,2,21,0,7,5.14,5.26,1.71,99.4,96.4,0.18
홍상삼,11,0,0,0,0,1,5,1,12.0,7,7,54,12,1,0,0,9,0,0,17,0,0,5.25,3.21,1.75,97.4,161.5,0.14
오현택,20,0,0,0,1,0,0,4,20.2,14,14,91,29,6,0,3,3,0,2,17,0,0,6.10,4.76,1.55,83.8,104.1,0.04
박성민,4,0,0,0,0,0,0,0,3.1,2,2,15,5,0,0,1,2,0,0,3,0,0,5.40,7.69,2.10,94.7,63.4,0.03
함덕주,15,0,0,0,0,0,0,0,8.2,6,6,46,10,3,0,0,11,1,0,7,0,2,6.23,5.64,2.42,82.0,91.2,0.03
이용호,1,0,0,0,0,0,0,0,1.2,1,1,9,3,1,0,0,1,0,0,0,0,0,5.40,5.59,2.40,94.7,92.3,0.02
안규영,16,0,0,9,1,2,0,0,47.2,36,35,229,73,15,1,6,24,0,4,24,0,2,6.61,6.18,2.04,77.3,81.0,-0.02
고봉재,25,0,0,0,3,0,0,0,23.1,17,16,101,32,3,1,1,2,0,3,18,0,0,6.17,3.45,1.46,82.8,148.1,-0.02
홍영현,6,0,0,0,1,0,0,0,6.1,6,5,33,9,1,0,1,6,0,0,6,0,2,7.11,6.79,2.37,71.9,73.4,-0.07
강동연,11,0,0,0,0,0,0,0,7.2,8,7,36,9,3,0,2,6,0,0,6,0,0,8.22,7.97,1.96,62.2,61.8,-0.09
이현호,41,0,0,1,0,2,0,0,47.0,37,37,223,63,17,1,5,20,1,5,32,0,7,7.09,5.35,1.77,72.1,93.9,-0.11
조승수,7,0,0,0,0,0,0,0,8.1,10,10,46,13,1,0,2,4,0,4,2,0,1,10.80,9.31,2.04,47.3,53.3,-0.17
노경은,3,0,0,3,0,2,0,0,9.2,12,12,59,27,8,1,1,5,0,0,8,0,1,11.17,5.03,3.31,45.8,99.6,-0.37
린드블럼,26,0,0,26,15,4,0,0,168.2,56,54,681,142,33,2,16,38,0,8,157,0,10,2.88,4.02,1.07,175.4,125.2,6.83
후랭코프,28,0,0,28,18,3,0,0,149.1,64,62,621,118,17,1,12,55,1,22,134,0,15,3.74,4.61,1.16,135.3,110.0,4.13
이용찬,25,1,0,24,15,3,0,0,144.0,62,58,608,151,24,1,14,36,2,8,102,0,6,3.63,4.56,1.30,139.4,110.8,3.93
함덕주,62,0,0,0,6,3,27,3,67.0,23,22,293,58,9,1,4,37,3,4,75,0,4,2.96,4.07,1.42,171.0,124.8,2.96
박치국,67,0,0,0,1,5,3,17,67.0,30,27,293,80,13,0,5,15,4,9,60,1,1,3.63,3.91,1.42,139.4,129.6,1.73
