이름,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WAR
팻딘,30,1,0,29,9,7,0,0,176.0,86,81,770,211,39,3,22,39,1,16,143,0,3,4.14,4.66,1.42,120.0,107.2,3.51
임기영,23,2,2,19,8,6,0,0,118.1,54,48,497,138,25,1,9,18,1,6,73,0,2,3.65,4.07,1.32,136.1,122.6,2.76
김윤동,65,0,0,1,7,4,11,6,80.1,41,41,356,70,8,1,10,47,3,5,66,1,7,4.59,5.54,1.46,108.2,89.9,1.89
임창용,51,0,0,0,8,6,7,9,50.0,22,21,225,51,7,1,3,22,2,5,58,0,2,3.78,3.70,1.46,131.4,135.5,1.51
고효준,40,0,0,1,3,1,0,4,40.0,19,19,186,44,7,1,1,22,0,5,35,1,2,4.28,4.34,1.65,116.2,114.9,0.83
김세현,21,0,0,0,0,2,8,0,21.0,9,8,92,23,4,0,2,4,2,1,21,0,1,3.43,3.40,1.29,144.9,147.7,0.70
임기준,15,0,0,4,0,1,1,2,22.0,9,8,104,25,3,0,1,15,0,0,12,2,0,3.27,5.28,1.82,151.8,94.0,0.66
이민우,4,0,0,2,1,1,0,0,12.2,4,4,53,14,2,0,2,0,0,1,9,0,0,2.84,4.60,1.11,174.8,108.5,0.43
심동섭,52,0,0,2,2,2,2,11,50.2,34,32,233,64,13,1,6,21,4,0,50,0,1,5.68,4.31,1.68,87.4,116.1,0.20
김명찬,6,0,0,0,0,0,0,1,5.0,2,2,22,5,0,0,0,2,0,0,2,0,0,3.60,4.14,1.40,138.0,120.3,0.15
홍건희,31,0,0,2,1,1,0,0,59.0,44,42,270,83,17,2,5,21,0,2,41,0,7,6.41,4.62,1.76,77.6,107.9,0.03
정용운,25,0,0,11,3,2,0,0,59.1,41,39,271,56,8,0,7,37,0,7,32,0,2,5.92,6.42,1.57,84.0,77.4,-0.02
최영필,2,0,0,0,0,0,0,0,1.1,3,3,10,5,1,0,0,0,0,1,1,0,0,20.25,4.49,3.75,24.5,111.5,-0.10
박경태,3,0,0,0,0,0,0,0,4.0,6,4,24,7,2,0,0,3,0,0,3,0,1,9.00,4.49,2.50,55.2,110.7,-0.11
박진태,38,0,0,2,0,1,3,2,57.2,45,42,270,76,12,1,5,19,3,10,24,0,0,6.55,5.38,1.65,75.8,92.5,-0.12
정동현,1,0,0,1,0,1,0,0,2.1,3,3,14,5,1,0,1,2,0,0,2,0,0,11.57,10.16,3.00,42.9,48.9,-0.12
김종훈,1,0,0,0,0,0,0,0,1.0,4,4,9,4,1,0,1,2,0,0,2,0,1,36.00,18.74,6.00,13.8,26.6,-0.12
박지훈,18,0,0,0,1,1,0,4,14.0,12,11,66,16,1,1,1,9,0,1,10,0,1,7.07,5.38,1.79,70.3,92.4,-0.12
남재현,9,0,0,0,0,0,0,0,7.2,11,10,48,16,1,0,1,9,1,0,8,0,1,11.74,6.47,3.26,42.3,76.8,-0.23
한승혁,36,0,0,0,1,1,1,3,39.0,32,31,186,46,10,1,4,23,2,1,42,0,10,7.15,4.61,1.77,69.5,108.4,-0.28
배힘찬,2,0,0,1,0,1,0,0,3.1,11,11,21,12,2,0,3,0,0,0,4,0,1,29.70,13.04,3.60,16.7,38.2,-0.49
손영민,15,0,0,0,0,1,0,4,13.1,16,16,66,26,3,0,4,3,0,1,9,0,0,10.80,7.19,2.18,46.0,69.3,-0.52
김광수,19,0,0,0,1,0,0,0,20.2,31,27,110,39,13,2,6,3,0,3,10,0,1,11.76,7.41,2.03,42.3,67.1,-0.77
양현종,29,2,2,29,16,8,0,0,184.2,56,47,731,165,32,1,6,33,0,2,163,0,1,2.29,2.63,1.07,184.3,160.8,7.41
문경찬,54,0,0,0,1,2,24,0,55.0,9,8,217,45,9,1,2,10,1,0,50,0,0,1.31,2.55,1.00,322.5,165.9,2.89
박준표,49,0,0,0,5,2,0,15,56.0,15,13,210,42,5,1,4,6,1,4,30,0,1,2.09,3.74,0.86,202.0,112.1,2.16
전상현,57,0,0,0,1,4,0,15,60.2,21,21,245,45,8,1,3,21,2,2,62,0,2,3.12,3.04,1.09,135.5,138.9,1.86
윌랜드,28,0,0,28,8,10,0,0,165.0,95,87,726,191,41,1,17,59,1,5,137,0,4,4.75,4.23,1.52,89.0,99.4,1.68
고영창,55,0,0,0,1,3,1,10,54.0,22,21,243,63,8,3,2,14,2,8,22,0,2,3.50,4.18,1.43,120.6,100.2,1.21
임기준,52,0,0,0,2,2,0,6,36.2,17,14,162,32,5,0,1,16,0,4,24,0,2,3.44,4.08,1.31,122.8,102.9,0.66
차명진,9,0,0,6,3,1,0,0,33.0,17,16,151,35,9,0,1,18,0,2,19,0,3,4.36,4.46,1.61,96.7,94.0,0.45
하준영,59,0,0,0,6,2,0,15,52.2,31,29,243,59,9,1,5,31,2,0,51,0,1,4.96,4.35,1.71,85.2,96.6,0.21
박진태,2,0,0,2,0,1,0,0,8.1,4,4,42,10,1,0,0,6,0,3,5,0,0,4.32,5.44,1.92,97.7,77.2,0.19
임기영,12,0,0,8,2,3,0,0,48.2,33,31,225,67,14,1,7,19,0,2,37,0,0,5.73,5.05,1.77,73.6,83.1,0.08
황인준,5,0,0,2,0,0,0,0,11.1,8,8,53,14,5,1,2,5,1,0,11,0,2,6.35,4.81,1.68,66.4,87.1,0.02
김승범,1,0,0,0,0,0,0,0,1.0,2,2,8,4,1,0,0,1,0,0,0,0,0,18.00,6.40,5.00,23.5,65.3,-0.06
김기훈,19,0,0,16,3,6,0,0,79.1,55,49,368,64,15,2,11,65,0,9,49,0,5,5.56,6.77,1.63,75.9,61.9,-0.08
이민우,32,0,0,6,2,6,1,2,61.1,42,37,283,74,11,2,4,26,1,4,56,0,3,5.43,3.84,1.63,77.8,109.5,-0.16
유승철,3,0,0,0,0,0,0,0,4.0,5,5,20,4,0,0,2,2,0,2,5,0,0,11.25,10.40,1.50,37.5,40.3,-0.19
박정수,3,0,0,0,0,0,0,0,5.0,7,7,27,10,2,0,0,4,0,1,2,0,0,12.60,5.60,2.80,33.5,74.8,-0.20
장지수,13,0,0,0,0,0,0,0,16.1,16,14,80,23,2,1,2,7,0,2,6,1,1,7.71,5.91,1.84,54.7,70.7,-0.23
김세현,10,0,0,0,0,2,0,0,8.2,8,6,48,11,4,0,0,9,1,2,5,0,0,6.23,5.71,2.31,67.7,73.4,-0.23
김윤동,11,0,0,0,1,2,4,0,11.0,8,8,55,12,1,1,1,11,2,0,12,0,1,6.55,4.86,2.09,64.5,86.3,-0.28
이준영,37,0,0,1,1,0,0,1,51.0,42,36,244,64,7,2,3,26,2,2,43,1,0,6.35,4.01,1.77,66.4,104.8,-0.33
강이준,3,0,0,3,0,2,0,0,9.0,11,11,53,14,4,0,1,9,1,2,3,0,0,11.00,7.51,2.56,38.4,55.6,-0.41
터너,28,1,0,28,7,13,0,0,153.1,107,94,714,179,34,3,12,58,0,17,121,0,14,5.52,4.31,1.55,76.5,97.5,-0.46
양승철,11,0,0,1,1,1,0,0,16.1,22,22,85,23,10,1,3,15,0,0,11,0,2,12.12,7.20,2.33,34.8,58.1,-0.66
홍건희,21,0,0,14,2,9,0,0,81.2,70,65,381,112,20,1,12,33,0,3,52,0,7,7.16,5.36,1.78,58.9,78.1,-1.06
브룩스,23,1,1,23,11,4,0,0,151.1,43,42,586,131,18,0,4,24,0,3,130,1,3,2.50,2.72,1.02,193.1,178.3,7.17
가뇽,28,0,0,28,11,8,0,0,159.2,86,77,702,162,33,8,7,64,0,9,141,0,13,4.34,3.73,1.42,111.1,129.5,2.87
박준표,50,0,0,0,7,1,6,11,51.2,16,9,205,41,3,0,3,8,2,0,44,0,2,1.57,2.96,0.95,307.7,162.8,2.63
양현종,31,0,0,31,11,10,0,0,172.1,99,90,746,180,40,4,13,64,0,5,149,0,7,4.70,4.01,1.42,102.6,120.5,2.56
전상현,47,0,0,0,2,2,15,13,47.2,21,13,198,35,6,1,4,22,0,0,64,0,2,2.45,3.35,1.20,196.5,145.8,1.60
정해영,47,0,0,0,5,3,1,11,37.2,15,14,169,40,5,1,2,24,2,2,32,0,7,3.35,4.46,1.70,144.2,107.7,1.45
임기영,25,0,0,25,9,10,0,0,127.2,80,73,559,152,26,3,12,33,0,9,106,1,3,5.15,4.10,1.45,93.7,117.6,1.37
홍상삼,57,0,0,0,4,5,0,17,48.0,27,27,229,32,11,0,5,54,0,3,61,0,8,5.06,5.93,1.79,95.3,81.6,0.93
이준영,48,0,0,0,0,2,0,13,23.2,14,14,113,31,5,1,1,13,0,0,22,0,3,5.32,3.89,1.86,90.6,124.2,0.39
문경찬,25,0,0,0,0,2,10,0,24.0,15,14,109,29,5,1,6,6,0,2,26,0,0,5.25,5.64,1.46,91.9,85.7,0.24
김기훈,22,0,0,7,0,4,0,1,52.0,35,31,238,58,11,1,8,31,0,2,39,0,3,5.37,5.96,1.71,89.9,80.8,0.23
박정수,7,0,0,0,0,0,0,1,7.1,3,3,28,5,2,1,1,4,0,1,5,0,0,3.68,6.01,1.23,131.0,80.1,0.18
김현수,15,0,0,4,1,2,0,0,32.1,27,26,167,41,7,3,3,31,0,2,19,0,1,7.24,6.65,2.23,66.7,72.3,0.10
고영창,48,0,0,0,1,1,1,2,58.0,46,44,275,88,19,0,3,17,2,5,23,2,6,6.83,4.47,1.81,70.6,107.0,0.10
홍건희,10,0,0,0,0,0,0,0,12.0,8,8,48,11,2,2,3,2,0,0,9,0,0,6.00,5.81,1.08,80.4,82.9,0.09
황인준,3,0,0,0,0,0,0,0,4.0,2,2,18,6,1,0,1,2,0,0,1,0,0,4.50,7.81,2.00,107.2,61.3,0.08
남재현,8,0,0,0,0,0,0,0,15.2,12,7,79,20,5,1,1,11,0,1,8,0,0,4.02,5.66,1.98,120.0,84.8,0.03
황윤호,1,0,0,0,0,0,0,0,0.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.00,3.56,0.00,,134.3,0.01
변시원,4,0,0,0,1,0,0,0,5.0,4,2,25,8,1,0,0,3,0,0,1,0,0,3.60,4.96,2.20,134.0,96.7,0.00
김승범,1,0,0,0,0,0,0,0,1.0,1,1,5,1,0,0,0,2,0,0,0,0,1,9.00,9.56,3.00,53.6,50.1,-0.01
서덕원,11,0,0,0,0,0,0,0,12.2,12,12,59,14,2,0,5,4,0,3,6,0,1,8.53,9.40,1.42,56.6,51.0,-0.04
김명찬,21,0,0,0,0,1,0,1,8.2,7,6,54,13,3,0,2,12,0,2,11,0,4,6.23,8.86,2.89,77.4,54.4,-0.08
차명진,1,0,0,0,0,0,0,0,0.1,5,5,6,3,0,0,0,0,0,2,0,0,0,135.00,21.56,9.00,3.6,22.3,-0.17
양승철,15,0,0,1,0,0,0,0,28.2,26,25,144,41,9,0,4,24,0,3,13,0,3,7.85,7.29,2.27,61.5,65.8,-0.18
김재열,14,0,0,0,0,1,0,2,17.1,16,14,89,23,6,0,3,12,1,3,13,0,0,7.27,6.73,2.02,66.4,71.2,-0.24
린드블럼,32,2,1,32,13,11,0,0,210.0,86,83,861,196,32,3,28,52,0,12,180,0,12,3.56,4.55,1.18,141.7,108.6,6.48
레일리,31,1,0,30,11,9,0,0,179.1,93,78,768,182,27,2,20,57,2,15,134,2,13,3.91,4.74,1.33,128.8,103.9,3.87
홍성민,67,0,0,0,4,4,1,8,82.0,38,36,352,85,19,2,8,24,4,10,65,0,4,3.95,4.40,1.33,127.6,111.9,1.91
송승준,25,0,0,23,8,7,0,0,125.0,71,66,551,131,19,1,17,46,1,4,112,0,8,4.75,4.77,1.42,106.1,103.5,1.76
이성민,50,0,0,0,5,5,4,7,60.0,32,26,277,71,17,1,7,26,3,4,49,0,5,3.90,4.85,1.62,129.2,101.6,0.96
정대현,19,0,0,0,2,1,3,3,18.1,6,6,77,16,2,0,3,7,0,2,17,0,2,2.95,5.36,1.26,171.1,92.2,0.70
강영식,50,0,0,0,2,1,2,6,38.2,21,18,159,40,9,0,6,10,0,0,46,0,2,4.19,4.03,1.29,120.3,122.5,0.60
박세웅,25,0,0,15,2,7,0,0,86.0,62,55,399,99,13,0,10,37,0,10,65,0,8,5.76,5.26,1.58,87.6,93.6,0.24
배장호,9,0,0,5,0,2,0,0,28.2,21,21,132,35,11,0,5,10,1,5,9,0,0,6.59,6.72,1.57,76.4,73.9,0.07
김승회,39,0,0,7,7,3,2,2,75.0,52,52,343,96,17,1,13,28,3,4,50,0,2,6.24,5.70,1.65,80.8,87.2,0.06
이명우,59,0,0,5,2,1,0,6,59.0,44,37,270,78,14,0,5,20,1,2,34,0,3,5.64,4.63,1.66,89.3,106.1,0.06
김원중,15,0,0,0,0,0,0,1,20.1,15,13,99,21,0,1,1,15,1,3,20,0,1,5.75,4.80,1.77,87.6,101.2,0.05
박진형,2,0,0,0,0,0,0,0,1.1,0,0,6,2,1,0,0,0,0,0,1,0,0,0.00,2.12,1.50,,227.3,0.05
조현우,3,0,0,0,0,0,0,0,4.0,3,2,15,3,1,0,2,1,0,0,4,0,0,4.50,8.87,1.00,112.0,57.0,0.03
최대성,3,0,0,0,0,0,0,0,1.1,1,1,7,0,0,0,0,3,0,0,0,0,0,6.75,10.37,2.25,74.7,46.8,0.01
이경우,1,0,0,0,0,0,0,0,1.2,2,2,8,2,1,0,1,1,0,0,0,0,0,10.80,13.22,1.80,46.7,38.3,-0.02
이상화,14,0,0,12,3,8,0,0,55.0,43,40,255,69,10,0,7,25,0,1,35,0,1,6.55,5.42,1.71,77.0,91.1,-0.03
심규범,16,0,0,0,0,1,0,1,6.1,5,5,31,7,0,0,1,6,1,0,6,0,0,7.11,6.14,2.05,70.9,80.3,-0.03
차재용,2,0,0,0,0,0,0,0,1.1,2,0,6,0,0,0,0,1,0,0,0,0,0,0.00,5.87,0.75,,83.0,-0.04
이재곤,5,0,0,5,0,2,0,0,13.0,10,9,71,15,3,0,1,18,0,4,9,0,0,6.23,8.31,2.54,80.9,58.7,-0.06
심수창,39,0,0,6,4,6,5,3,73.1,56,49,340,99,14,0,9,29,4,3,76,0,14,6.01,4.28,1.75,83.8,114.9,-0.15
허준혁,3,0,0,0,0,0,0,0,1.2,5,4,12,6,2,0,0,0,0,0,0,0,0,21.60,3.62,3.60,23.3,135.2,-0.15
이정민,34,0,0,0,1,4,1,5,44.2,34,29,212,59,10,0,4,31,2,2,36,0,7,5.84,5.25,2.02,86.3,93.3,-0.20
정재훈,10,0,0,0,0,0,0,0,6.1,8,5,40,16,2,0,1,6,0,0,5,0,0,7.11,6.93,3.47,70.9,71.1,-0.20
이인복,9,0,0,1,0,0,0,0,20.1,25,23,105,36,9,0,4,8,0,2,9,0,4,10.18,6.76,2.16,49.5,73.5,-0.48
레일리,31,1,1,31,8,10,0,0,184.2,105,89,808,207,36,4,21,51,1,17,147,2,5,4.34,4.77,1.40,120.5,109.6,3.52
린드블럼,30,1,0,30,10,13,0,0,177.1,109,104,791,197,36,6,28,77,0,9,148,0,7,5.28,5.63,1.55,99.0,92.9,2.69
이정민,68,0,0,0,5,2,2,9,77.0,29,27,326,83,13,1,6,21,1,5,60,0,5,3.16,4.22,1.35,165.6,123.4,2.37
손승락,48,0,0,0,7,3,20,0,50.2,25,24,232,61,6,1,5,24,4,3,48,1,5,4.26,4.54,1.68,122.6,114.9,1.42
박세웅,27,0,0,27,7,12,0,0,139.0,97,89,627,160,31,3,17,62,0,6,133,0,9,5.76,4.94,1.60,90.7,105.7,0.95
박시영,42,0,0,2,2,3,0,1,61.2,38,37,277,64,17,1,6,29,3,2,57,0,8,5.40,4.57,1.51,96.8,114.1,0.76
박진형,39,0,0,14,6,2,0,3,93.0,65,60,438,101,28,2,9,54,0,13,78,1,6,5.81,5.53,1.67,90.0,94.2,0.74
배장호,19,0,0,0,0,0,0,1,23.2,10,10,104,26,6,0,1,10,1,4,11,0,0,3.80,5.06,1.52,137.4,102.9,0.63
홍성민,52,0,0,0,1,1,2,5,42.1,24,21,185,45,13,0,5,16,3,1,30,0,3,4.46,4.90,1.44,117.0,106.7,0.56
정대현,24,0,0,0,1,0,0,8,17.1,10,10,85,24,4,0,3,13,2,0,7,0,0,5.19,7.14,2.14,100.6,73.5,0.24
고원준,4,0,0,3,0,1,0,0,9.2,6,6,46,14,1,0,2,3,0,2,6,0,0,5.59,6.79,1.76,93.5,77.3,0.14
윤길현,62,0,0,0,7,7,2,16,60.0,42,40,275,75,17,3,8,22,2,2,50,1,3,6.00,4.96,1.62,87.1,105.5,0.10
강영식,24,0,0,0,0,2,0,5,11.2,8,7,55,13,2,0,2,9,0,0,11,0,0,5.40,6.45,1.89,96.8,81.1,0.08
김성재,6,0,0,0,0,0,0,0,3.2,3,3,16,5,1,0,2,2,0,0,3,0,2,7.36,10.88,1.91,71.0,48.6,-0.01
노경은,19,0,0,17,3,10,0,0,85.0,67,60,395,101,17,4,12,43,0,5,44,0,9,6.35,6.29,1.69,82.3,83.2,-0.02
박한길,9,0,0,0,0,0,0,0,16.1,15,11,78,24,3,1,1,7,0,1,10,0,2,6.06,4.83,1.90,86.2,107.7,-0.05
이경우,1,0,0,0,0,0,0,0,2.0,3,3,9,3,0,0,1,0,0,0,1,0,0,13.50,9.29,1.50,38.7,57.1,-0.05
강승현,6,0,0,0,0,0,0,0,8.1,9,9,43,14,4,0,2,5,0,0,7,0,0,9.72,7.03,2.28,53.8,74.7,-0.06
김원중,3,0,0,2,0,1,0,0,7.2,8,8,37,7,1,0,2,8,0,0,5,0,1,9.39,9.01,1.96,55.6,58.2,-0.13
차재용,2,0,0,0,0,0,0,0,2.2,6,6,14,3,0,0,1,4,0,0,0,0,3,20.25,13.17,2.63,25.8,39.9,-0.14
김성배,15,0,0,0,0,0,0,1,15.1,15,15,88,30,6,0,2,14,0,1,15,0,0,8.80,6.47,2.87,59.4,80.7,-0.19
김유영,46,0,0,0,0,1,1,3,34.1,32,25,171,37,9,1,3,30,1,0,31,0,8,6.55,5.66,1.95,79.7,92.1,-0.33
이성민,36,0,0,6,6,5,0,1,68.2,59,54,327,89,6,3,11,42,5,4,47,0,1,7.08,6.30,1.91,73.8,83.2,-0.42
송승준,10,0,0,10,1,2,0,0,41.1,43,40,201,62,9,1,6,21,0,2,35,0,4,8.71,5.66,2.01,60.0,92.5,-0.77
이명우,45,0,0,2,2,3,0,6,33.0,37,34,157,41,10,1,5,18,4,1,25,0,1,9.27,5.61,1.79,56.4,93.4,-0.95
노경은,33,0,0,19,9,6,0,0,132.1,65,60,547,127,24,3,18,30,1,4,89,0,1,4.08,5.00,1.19,127.8,104.5,3.42
레일리,30,0,0,30,11,13,0,0,178.1,106,94,775,180,34,4,24,54,1,18,178,2,4,4.74,4.78,1.31,109.9,109.3,2.97
듀브론트,25,0,0,25,6,9,0,0,137.1,82,75,629,162,29,2,13,62,1,8,109,3,10,4.92,4.98,1.63,106.1,104.8,2.34
손승락,57,0,0,0,3,5,28,0,57.2,26,25,250,53,13,0,1,20,4,1,60,0,2,3.90,2.86,1.27,133.7,182.5,2.25
구승민,64,0,0,0,7,4,0,14,73.2,33,30,307,62,15,0,12,31,6,3,75,1,2,3.67,5.06,1.26,142.3,103.6,2.21
오현택,72,0,0,0,3,2,0,25,64.2,32,27,268,66,9,0,11,12,0,3,63,1,2,3.76,4.79,1.21,138.8,109.3,1.66
진명호,60,0,0,0,5,4,1,9,61.2,34,30,282,53,19,0,7,46,6,1,65,0,3,4.38,5.20,1.61,119.1,100.7,1.20
윤길현,32,0,0,0,1,2,0,4,33.0,18,17,145,33,6,2,4,15,0,0,29,0,2,4.64,5.02,1.46,112.5,104.4,0.63
장시환,32,0,0,0,1,0,0,2,36.2,23,19,174,39,4,2,5,19,0,3,44,0,2,4.66,5.01,1.58,111.8,104.6,0.49
김건국,5,0,0,1,1,0,0,0,10.2,3,3,41,11,2,0,1,0,0,1,9,0,0,2.53,3.65,1.03,206.1,143.1,0.47
윤성빈,18,0,0,10,2,5,0,0,50.2,36,36,235,51,12,0,5,36,0,3,65,0,5,6.39,4.86,1.72,81.6,107.7,0.39
송승준,22,0,0,15,3,4,0,0,79.0,58,54,361,93,23,2,8,35,0,4,68,0,5,6.15,4.91,1.62,84.8,106.4,0.36
정성종,10,0,0,0,0,1,0,0,19.0,13,13,85,19,3,0,2,8,0,1,12,0,2,6.16,5.36,1.42,84.7,97.4,0.16
배장호,25,0,0,0,1,1,0,0,24.1,18,16,112,29,9,1,3,10,2,2,13,0,0,5.92,5.60,1.60,88.1,93.1,0.14
이명우,59,0,0,1,0,1,0,2,44.0,36,26,200,59,15,0,1,9,1,0,25,0,3,5.32,3.54,1.55,98.1,147.4,0.06
김원중,30,0,0,30,8,7,0,0,145.1,115,112,681,173,37,2,28,77,1,11,137,0,7,6.94,6.25,1.72,75.2,83.7,0.03
조무근,2,0,0,0,1,0,0,0,0.2,1,1,6,2,1,0,0,1,0,2,1,0,0,13.50,14.33,4.50,38.6,35.4,-0.04
정태승,3,0,0,0,0,0,0,0,2.2,4,2,16,4,1,0,0,3,0,0,3,0,0,6.75,4.96,2.63,77.3,105.4,-0.07
홍성민,4,0,0,0,0,0,0,0,3.2,5,5,18,6,0,1,1,1,0,0,3,0,0,12.27,6.56,1.91,42.5,79.9,-0.09
김대우,5,0,0,0,0,0,0,0,3.1,5,5,19,8,2,0,2,1,0,0,2,0,1,13.50,11.33,2.70,38.6,46.3,-0.10
고효준,43,0,0,0,2,3,0,7,32.1,27,25,153,33,8,1,3,23,0,0,39,0,5,6.96,4.76,1.73,75.0,110.1,-0.13
박진형,13,0,0,0,3,2,0,1,13.0,12,9,69,23,3,3,1,8,0,1,11,0,0,6.23,5.22,2.39,83.7,100.0,-0.33
박시영,21,0,0,1,0,0,0,0,26.1,27,25,129,35,6,1,6,14,0,1,19,0,5,8.54,7.06,1.86,61.0,74.1,-0.36
조정훈,7,0,0,0,0,0,0,0,4.1,13,8,28,6,0,0,0,4,0,2,5,0,1,16.62,5.68,2.31,31.4,91.0,-0.44
박세웅,14,0,0,12,1,5,0,0,49.0,54,54,258,83,20,2,10,29,0,4,40,0,3,9.92,6.87,2.29,52.6,76.1,-1.20
레일리,30,0,0,30,5,14,0,0,181.0,88,78,791,191,32,4,10,65,1,8,140,1,10,3.88,3.77,1.41,108.2,111.0,4.10
진명호,60,0,0,0,3,2,0,9,63.1,24,24,273,56,12,0,4,35,4,1,51,0,3,3.41,4.13,1.44,123.0,101.1,1.89
장시환,27,0,0,27,6,13,0,0,125.1,78,69,570,147,29,1,12,58,1,2,109,0,17,4.95,4.32,1.64,84.7,97.0,1.20
박시영,43,0,0,6,1,1,0,4,61.2,30,29,262,51,10,1,5,27,0,4,60,0,7,4.23,4.02,1.27,99.1,104.1,1.06
박세웅,12,0,0,12,3,6,0,0,60.0,33,28,263,66,12,3,3,23,0,0,44,0,4,4.20,3.74,1.48,99.9,112.0,0.98
김건국,37,0,0,5,3,3,0,3,66.2,34,33,293,73,8,1,5,27,0,6,43,0,3,4.46,4.57,1.50,94.2,91.4,0.91
손승락,53,0,0,0,4,3,9,2,52.2,27,23,233,54,9,1,3,19,3,3,44,0,2,3.93,3.55,1.39,106.8,117.3,0.86
톰슨,11,1,1,11,2,3,0,0,62.2,35,33,267,54,8,1,4,23,0,5,60,0,8,4.74,3.66,1.23,88.5,114.2,0.83
박진형,41,0,0,0,2,1,5,5,40.1,19,18,169,40,3,0,6,11,3,0,40,0,5,4.02,3.95,1.26,104.5,106.3,0.77
고효준,75,0,0,0,2,7,0,15,62.1,34,33,280,58,13,1,6,36,6,3,72,0,11,4.76,3.93,1.51,88.1,106.1,0.71
다익손,17,0,0,16,3,8,0,0,83.2,52,46,369,99,10,1,8,22,1,4,59,1,3,4.95,4.13,1.45,84.8,101.4,0.67
서준원,33,0,0,16,4,11,0,0,97.0,61,59,443,117,25,1,10,38,0,11,60,1,1,5.47,5.02,1.60,76.7,83.3,0.64
조무근,8,0,0,0,0,0,0,0,9.2,2,2,43,6,2,1,0,5,0,3,5,0,0,1.86,4.85,1.14,225.4,85.3,0.31
홍성민,12,0,0,0,0,0,0,1,12.2,6,6,57,17,4,0,0,0,0,1,7,0,2,4.26,2.53,1.34,98.4,164.1,0.20
김현수,6,0,0,0,0,1,0,0,6.1,2,1,24,3,1,0,0,1,0,0,4,0,1,1.42,2.61,0.63,295.3,159.7,0.20
정성종,32,0,0,0,1,1,0,0,49.2,33,30,231,64,10,1,6,24,3,4,24,0,4,5.44,5.52,1.77,77.2,75.8,0.20
송승준,11,0,0,1,0,1,0,0,14.1,7,7,64,16,3,0,2,6,0,0,13,0,0,4.40,4.66,1.54,95.5,90.2,0.19
차재용,9,0,0,0,0,0,0,0,9.2,6,4,47,9,2,0,0,8,1,0,7,0,1,3.72,4.13,1.76,112.7,100.6,0.09
박근홍,24,0,0,0,1,0,0,1,17.2,13,12,83,16,0,0,5,17,1,1,11,0,1,6.11,8.72,1.87,68.6,48.1,-0.02
박진,2,0,0,0,0,0,0,0,1.0,1,1,6,2,2,0,0,1,0,0,1,0,0,9.00,4.40,3.00,46.6,94.7,-0.02
오현택,15,0,0,0,1,0,0,0,12.2,9,7,56,15,1,0,6,2,1,1,8,0,0,4.97,8.77,1.34,84.4,48.1,-0.05
정태승,1,0,0,0,0,0,0,0,1.0,3,3,6,2,1,0,0,1,0,0,2,0,1,27.00,2.40,3.00,15.5,172.8,-0.09
최영환,15,0,0,0,0,0,0,0,19.0,15,14,85,20,7,0,1,9,0,1,19,1,3,6.63,3.67,1.53,63.3,113.9,-0.10
윤성빈,1,0,0,1,0,1,0,0,0.1,3,3,4,0,0,0,0,3,0,0,0,0,1,81.00,30.40,9.00,5.2,13.7,-0.23
최하늘,2,0,0,1,0,1,0,0,2.0,6,6,13,4,0,0,2,2,0,1,1,0,0,27.00,19.90,3.00,15.5,21.2,-0.34
스트레일리,31,0,0,31,15,4,0,0,194.2,61,54,777,148,27,2,10,51,0,7,205,0,4,2.50,3.01,1.02,194.9,159.1,7.51
박세웅,28,0,0,28,8,10,0,0,147.1,85,77,658,177,27,2,20,47,0,8,108,0,13,4.70,4.97,1.52,103.5,96.7,2.01
구승민,57,0,0,0,5,2,0,20,60.1,25,24,238,40,9,0,8,26,2,0,58,0,1,3.58,4.55,1.09,135.9,105.8,1.90
노경은,25,1,0,24,5,10,0,0,133.0,76,72,574,139,31,1,19,40,2,3,77,0,3,4.87,5.18,1.35,99.9,92.9,1.69
김원중,58,0,0,0,5,4,25,0,59.1,29,26,249,52,14,1,8,23,5,0,57,0,1,3.94,4.30,1.26,123.4,112.2,1.57
김대우,46,0,0,1,0,1,0,0,49.1,22,17,216,48,11,0,1,26,1,2,43,1,5,3.10,3.72,1.50,156.9,128.4,1.12
오현택,48,0,0,0,3,1,0,7,36.0,15,15,152,37,6,1,5,8,1,2,17,0,1,3.75,5.17,1.25,129.8,93.1,1.02
이인복,47,0,0,1,1,4,0,2,45.1,22,20,199,57,9,0,2,12,1,1,21,0,2,3.97,4.00,1.52,122.6,119.8,0.94
김건국,32,0,0,0,3,2,0,1,31.2,14,14,139,30,5,2,2,9,0,3,31,0,4,3.98,3.56,1.23,122.3,134.7,0.68
서준원,31,0,0,20,7,6,0,0,107.2,71,62,480,130,18,0,16,31,1,5,60,0,3,5.18,5.35,1.50,93.9,89.9,0.54
최준용,31,0,0,0,0,2,0,8,29.2,16,16,130,31,7,1,3,11,4,2,26,0,3,4.85,4.03,1.42,100.3,119.6,0.52
박진형,53,0,0,0,1,4,0,17,42.2,27,27,194,56,15,2,7,13,2,4,50,0,3,5.70,4.40,1.62,85.4,109.7,0.35
샘슨,25,0,0,25,9,12,0,0,130.0,87,78,590,167,25,1,14,36,0,6,87,2,8,5.40,4.59,1.56,90.1,104.7,0.29
